gpu,sms,path,method,destination,pf_shape,routing,route_seed,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.727872,8849441,10452205568,1306525696,58720256,1879048192,1879048192,0,7.598503,243.152089,243.152089,0.000000,1529.198682,1764.752268,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.778112,8900551,10452205568,1306525696,58720256,1879048192,1879048192,58720256,7.549422,241.581517,241.581517,7.549422,1519.321256,1753.353350,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.770672,8841370,10452205568,1306525696,58720256,1879048192,1879048192,58720256,7.556651,241.812835,241.812835,7.556651,1520.776035,1755.032220,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.773632,8862114,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.553774,241.720753,241.720753,15.040103,1520.196923,1754.363902,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.778032,8877008,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.549500,241.584005,241.584005,15.031594,1519.336904,1753.371409,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.768736,8876469,10452205568,1306525696,58720256,1879048192,1879048192,116916224,7.558534,241.873095,241.873095,15.049582,1521.155011,1755.469571,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.745056,9015981,10452205568,1306525696,58720256,1879048192,58720256,0,7.581644,242.612598,7.581644,0.000000,1525.805790,1760.836744,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.767312,8993143,10452205568,1306525696,58720256,1879048192,58720256,58720256,7.559920,241.917433,7.559920,7.559920,1521.433856,1755.791369,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.768512,8943300,10452205568,1306525696,58720256,1879048192,58720256,58720256,7.558752,241.880073,7.558752,7.558752,1521.198895,1755.520215,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.775936,8982259,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.551535,241.649129,7.551535,15.035646,1519.746475,1753.844069,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.761488,8994089,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.565593,242.098964,7.565593,15.063635,1522.575514,1757.108885,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.770144,8970083,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.557164,241.829263,7.557164,15.046854,1520.879348,1755.151446,0x7a89601c5b1649f1
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,10.537600,11953232,10452205568,1306525696,58720256,1879048192,1879048192,0,5.572451,178.318428,178.318428,0.000000,1121.455740,1294.201718,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,10.233343,11687760,10452205568,1306525696,58720256,1879048192,1879048192,58720256,5.738130,183.620169,183.620169,5.738130,1154.798718,1332.680756,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.966320,11328196,10452205568,1306525696,58720256,1879048192,1879048192,58720256,5.891869,188.539821,188.539821,5.891869,1185.738716,1368.386667,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.819792,11249652,10452205568,1306525696,58720256,1879048192,1879048192,116916224,5.979786,191.353160,191.353160,11.906182,1203.431984,1388.805358,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.486799,10880528,10452205568,1306525696,58720256,1879048192,1879048192,116916224,6.189680,198.069775,198.069775,12.324096,1245.673195,1437.553290,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.914080,11153295,10452205568,1306525696,58720256,1879048192,1879048192,116916224,5.922915,189.533296,189.533296,11.792948,1191.986742,1375.597122,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,10.830608,12309086,10452205568,1306525696,58720256,1879048192,58720256,0,5.421695,173.494242,5.421695,0.000000,1091.116133,1259.188680,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,8.702480,10221120,10452205568,1306525696,58720256,1879048192,58720256,58720256,6.747531,215.920993,6.747531,6.747531,1357.940620,1567.114082,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,8.488512,10038308,10452205568,1306525696,58720256,1879048192,58720256,58720256,6.917615,221.363672,6.917615,6.917615,1392.169966,1606.616023,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,8.303792,10019105,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.071499,226.287965,7.071499,14.079859,1423.139154,1642.355620,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,8.204081,9925710,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.157445,229.038242,7.157445,14.250984,1440.435818,1662.316614,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,7.794336,9213848,10452205568,1306525696,58720256,1879048192,58720256,116916224,7.533708,241.078665,7.533708,15.000151,1516.158790,1749.703746,0x9819c2934d0ec0bc
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.325872,10517373,10452205568,1306525696,58720256,1879048192,1879048192,0,6.296489,201.487658,201.487658,0.000000,1267.168473,1462.359642,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.542144,11222930,10452205568,1306525696,58720256,1879048192,1879048192,58720256,6.153780,196.920967,196.920967,6.153780,1238.448271,1429.215458,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.513632,11091030,10452205568,1306525696,58720256,1879048192,1879048192,58720256,6.172223,197.511132,197.511132,6.172223,1242.159855,1433.498764,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.207088,10486283,10452205568,1306525696,58720256,1879048192,1879048192,116916224,6.377723,204.087122,204.087122,12.698501,1283.516668,1481.226068,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.158239,10414861,10452205568,1306525696,58720256,1879048192,1879048192,116916224,6.411741,205.175702,205.175702,12.766234,1290.362814,1489.126776,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.235408,10491314,10452205568,1306525696,58720256,1879048192,1879048192,116916224,6.358166,203.461312,203.461312,12.659563,1279.580906,1476.684052,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.206128,10608484,10452205568,1306525696,58720256,1879048192,58720256,0,6.378388,204.108412,6.378388,0.000000,1283.650560,1481.380584,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.216592,10525297,10452205568,1306525696,58720256,1879048192,58720256,58720256,6.371146,203.876685,6.371146,6.371146,1282.193215,1479.698754,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.206528,10469088,10452205568,1306525696,58720256,1879048192,58720256,58720256,6.378111,204.099553,6.378111,6.378111,1283.594846,1481.316288,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.156096,10394296,10452205568,1306525696,58720256,1879048192,58720256,116916224,6.413242,205.223743,6.413242,12.769223,1290.664947,1489.475448,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_lead1_tma_smem,smem_then_rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,9.182992,10399203,10452205568,1306525696,58720256,1879048192,58720256,116916224,6.394458,204.622654,6.394458,12.731823,1286.884661,1485.112857,0x7ae620bbfcffa00d
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,384,356,1024,1,8,8.805728,9881247,10452205568,1306525696,58720256,1879048192,58720256,116916224,6.668416,213.389308,6.668416,13.277292,1342.018692,1548.739584,0x7ae620bbfcffa00d
