name,ms,useful_GBps,explicit_prefetch_GBps,useful_bytes,explicit_prefetch_bytes,ctas,iters_or_groups,checksum
A00_direct_128K_contig_ld_ca_L1_path,3.964075,1591.350682,0.000000,6308233216,0,188,256,3.081618000e+06
A01_direct_128K_contig_ld_cg_no_L1,3.964629,1591.128184,0.000000,6308233216,0,188,256,3.081122000e+06
A02_direct_128K_denseperm_ld_ca_L1_path,10.841830,581.842094,0.000000,6308233216,0,188,256,3.080474000e+06
A03_direct_128K_denseperm_ld_cg_no_L1,11.109984,567.798567,0.000000,6308233216,0,188,256,3.080474000e+06
A04_direct_128K_scatter_ld_ca_L1_path,10.122330,623.199737,0.000000,6308233216,0,188,256,3.079154325e+06
A05_direct_128K_scatter_ld_cg_no_L1,12.722272,495.841722,0.000000,6308233216,0,188,256,3.080197304e+06
A06_direct_128K_scatter_ld_L2_128B_hint,9.702488,650.166561,0.000000,6308233216,0,188,256,3.080647618e+06
A07_direct_16K_scatter_ld_cg_no_L1,1.381952,570.590820,0.000000,788529152,0,188,256,3.847959149e+05
B00_bulkPF_128K_P1_then_128K_denseperm_ld_cg,10.000275,630.805996,630.805996,6308233216,6308233216,188,256,3.080474000e+06
B01_bulkPF_128K_P2_then_128K_denseperm_ld_cg,8.594116,734.017677,734.017677,6308233216,6308233216,188,256,3.080474000e+06
B02_bulkPF_128K_P1_delay64_then_128K_denseperm_ld_cg,7.696854,819.585914,819.585914,6308233216,6308233216,188,256,3.083480535e+06
B03_bulkPF_128K_WAIT_read0_then_128K_denseperm_ld_cg,7.340292,859.398077,859.398077,6308233216,6308233216,188,256,3.080474000e+06
B04_bulkPF_16K_P8_then_16K_denseperm_ld_cg,0.570125,1383.081498,1383.081498,788529152,788529152,188,256,3.850652500e+05
B05_bulkPF_16K_P8_delay64_then_16K_denseperm_ld_cg,0.570556,1382.036999,1382.036999,788529152,788529152,188,256,3.854082964e+05
B06_overfetch_bulkPF_128K_each_16K_denseperm_ld_cg,0.928463,849.284482,6794.275854,788529152,6308233216,188,256,3.850412500e+05
B07_bulkPF_16K_P8_then_16K_scatter_ld_cg,1.436194,549.040811,549.040811,788529152,788529152,188,256,3.849064430e+05
B08_overfetch_bulkPF_128K_each_16K_scatter_ld_cg,1.702402,463.186159,3705.489273,788529152,6308233216,188,256,3.846608219e+05
C00_bulkPF_128Kx1_then_8x16K_denseperm_ld_cg,12.169089,518.381701,518.381701,6308233216,6308233216,188,256,3.080544500e+06
C01_bulkPF_128Kx2_then_16x16K_denseperm_ld_cg,9.770739,1291.250022,1291.250022,12616466432,12616466432,188,256,6.161112500e+06
C02_bulkPF_128Kx4_then_32x16K_denseperm_ld_cg,40.473801,623.438680,623.438680,25232932864,25232932864,188,256,1.232149650e+07
C03_bulkPF_128Kx8_then_64x16K_denseperm_ld_cg,100.718361,501.059244,501.059244,50465865728,50465865728,188,256,2.464226422e+07
C04_bulkPF_128Kx4_WAIT_read0_then_32x16K_denseperm_ld_cg,43.328808,582.359269,582.359269,25232932864,25232932864,188,256,1.232149650e+07
D00_cpasync_cg_16K_to_smem_contig_no_bulkPF,0.555940,1418.370271,0.000000,788529152,0,188,256,3.852002500e+05
D01_cpasync_cg_16K_to_smem_denseperm_no_bulkPF,0.555827,1418.658805,0.000000,788529152,0,188,256,3.852572500e+05
D02_cpasync_ca_16K_to_smem_denseperm_L1_path,0.555554,1419.356213,0.000000,788529152,0,188,256,3.849932500e+05
D03_cpasync_cg_L2_128B_hint_16K_to_smem_denseperm,0.555486,1419.530596,0.000000,788529152,0,188,256,3.849932500e+05
D04_bulkPF_16K_then_cpasync_cg_16K_to_smem_denseperm,0.554287,1422.601104,1422.601104,788529152,788529152,188,256,3.849532500e+05
D05_bulkPF_128K_then_cpasync_cg_16K_to_smem_denseperm,0.559887,1408.372281,11266.978247,788529152,6308233216,188,256,3.854012500e+05
D06_cpasync_cg_16K_to_smem_scatter_no_bulkPF,0.556463,1417.038028,0.000000,788529152,0,188,256,3.848362094e+05
D07_bulkPF_16K_then_cpasync_cg_16K_to_smem_scatter,0.555791,1418.751459,1418.751459,788529152,788529152,188,256,3.848716469e+05
E00_direct_256K_1024_denseperm_ld_cg_no_L1,24.345333,518.229362,0.000000,12616466432,0,188,256,1.540237000e+06
E01_direct_256K_1024_scatter_ld_cg_no_L1,150.127899,84.038120,0.000000,12616466432,0,188,256,1.542866455e+06
E02_method_kernel0_rr16phase_256K_bulkPF_then_denseperm_ld_cg,8.323180,1515.822814,1515.822814,12616466432,12616466432,188,256,1.540237000e+06
E03_method_kernel0_rr16phase_256K_bulkPF_then_scatter_ld_cg,25.383490,497.034357,497.034357,12616466432,12616466432,188,256,1.538006704e+06
E04_method_kernel0_rr16phase_256K_bulkPF_delay64_then_denseperm_ld_cg,8.331786,1514.257111,1514.257111,12616466432,12616466432,188,256,1.541738600e+06
F00_method_kernel1_WMS_256K_64K_32K_bulkPF_nowait_then_denseperm_ld_cg,12.396595,1399.387601,1399.387601,17347641344,17347641344,188,256,2.117795490e+06
F01_method_kernel1_WMS_256K_64K_32K_bulkPF_WAIT_read0_then_denseperm_ld_cg,12.388876,1400.259507,1400.259507,17347641344,17347641344,188,256,2.117795490e+06
F02_method_kernel1_WMS_256K_64K_32K_bulkPF_nowait_then_scatter_ld_cg,34.523476,502.488264,502.488264,17347641344,17347641344,188,256,2.118347062e+06
F03_method_kernel1_WMS_256K_64K_32K_bulkPF_delay64_then_denseperm_ld_cg,11.945832,1452.191943,1452.191943,17347641344,17347641344,188,256,2.119705832e+06
F04_bulkshared32_W_probe_no_panel_prefetch_denseperm_smem,10.600798,148.767890,0.000000,1577058304,0,188,256,1.923886250e+05
F05_method_kernel1_WMS_panel_bulkPF_then_bulkshared32_W_probe_denseperm_smem,10.557896,149.372409,1643.096494,1577058304,17347641344,188,256,1.923886250e+05
F06_method_kernel1_WMS_panel_bulkPF_WAIT_read0_then_bulkshared32_W_probe_denseperm_smem,10.575192,149.128095,1640.409044,1577058304,17347641344,188,256,1.923886250e+05
